"開票区","名前","得票数","開票区総数","開票区得票率","平均年収"
"東村山市","福永かつや",10,75159.999,0.000133049496182138,3674715.68773436
"東村山市","犬伏宏明",9,75159.999,0.000119744546563924,3674715.68773436
"東村山市","武内隆",3,75159.999,3.99148488546414e-05,3674715.68773436
"東村山市","遠藤信一",11,75159.999,0.000146354445800352,3674715.68773436
"東村山市","上楽むねゆき",3,75159.999,3.99148488546414e-05,3674715.68773436
"東村山市","二宮大造",13,75159.999,0.000172964345036779,3674715.68773436
"東村山市","中江ともや",5,75159.999,6.6524748091069e-05,3674715.68773436
"東村山市","ふなはしゆめと",5,75159.999,6.6524748091069e-05,3674715.68773436
"東村山市","山田信一",6,75159.999,7.98296977092828e-05,3674715.68773436
"東村山市","加藤英明",4,75159.999,5.32197984728552e-05,3674715.68773436
"東村山市","草尾あつし",7,75159.999,9.31346473274966e-05,3674715.68773436
"東村山市","津村大作",3,75159.999,3.99148488546414e-05,3674715.68773436
"東村山市","横山緑",26,75159.999,0.000345928690073559,3674715.68773436
"東村山市","前田太一",6,75159.999,7.98296977092828e-05,3674715.68773436
"東村山市","みなみ俊輔",3,75159.999,3.99148488546414e-05,3674715.68773436
"東村山市","ふくはらしるび",8,75159.999,0.00010643959694571,3674715.68773436
"東村山市","木村よしたか",6,75159.999,7.98296977092828e-05,3674715.68773436
"東村山市","三輪陽一",3,75159.999,3.99148488546414e-05,3674715.68773436
"東村山市","松尾芳治",0,75159.999,0,3674715.68773436
"東村山市","ホカリジン",11,75159.999,0.000146354445800352,3674715.68773436
"東村山市","小林弘",106,75159.999,0.00141032465953066,3674715.68773436
"東村山市","加藤健一郎",9,75159.999,0.000119744546563924,3674715.68773436
"東村山市","ひまそらあかね",1002,75159.999,0.0133315595174502,3674715.68773436
"東村山市","向後真徳",18,75159.999,0.000239489093127849,3674715.68773436
"東村山市","うしくぼのぶお",15,75159.999,0.000199574244273207,3674715.68773436
"東村山市","古田真",1,75159.999,1.33049496182138e-05,3674715.68773436
"東村山市","アキノリ将軍未満",6,75159.999,7.98296977092828e-05,3674715.68773436
"国分寺市","野間口翔",13,68921.999,0.00018861902133744,4604825.70129889
"国分寺市","さわしげみ",10,68921.999,0.000145091554874954,4604825.70129889
"国分寺市","大和行男",103,68921.999,0.00149444301521202,4604825.70129889
"国分寺市","木宮みつき",45,68921.999,0.000652911996937291,4604825.70129889
"国分寺市","小池ゆりこ",28481,68921.999,0.413235257439355,4604825.70129889
"国分寺市","うつみさとる",1275,68921.999,0.0184991732465566,4604825.70129889
"国分寺市","石丸伸二",16801.006,68921.999,0.243768408400343,4604825.70129889
"国分寺市","小野寺こうき",5,68921.999,7.25457774374768e-05,4604825.70129889
"国分寺市","しんどう伸夫",6,68921.999,8.70549329249722e-05,4604825.70129889
"国分寺市","竹本秀之",5,68921.999,7.25457774374768e-05,4604825.70129889
"国分寺市","桜井誠",607,68921.999,0.00880705738090969,4604825.70129889
"国分寺市","ドクター・中松",241,68921.999,0.00349670647248638,4604825.70129889
"国分寺市","安野たかひろ",1517,68921.999,0.0220103888745305,4604825.70129889
"国分寺市","清水国明",397,68921.999,0.00576013472853566,4604825.70129889
"国分寺市","ＡＩメイヤー",45,68921.999,0.000652911996937291,4604825.70129889
"国分寺市","桑原まりこ",17,68921.999,0.000246655643287421,4604825.70129889
"国分寺市","ゴトウテルキ",49,68921.999,0.000710948618887273,4604825.70129889
"国分寺市","河合ゆうすけ",12,68921.999,0.000174109865849944,4604825.70129889
"国分寺市","福本繁幸",38,68921.999,0.000551347908524824,4604825.70129889
"国分寺市","黒川あつひこ",19,68921.999,0.000275673954262412,4604825.70129889
"国分寺市","桑島康文",3,68921.999,4.35274664624861e-05,4604825.70129889
"国分寺市","田母神としお",2301,68921.999,0.0333855667767268,4604825.70129889
"国分寺市","蓮舫",15028,68921.999,0.21804358866608,4604825.70129889
"国分寺市","ないとうひさお",20,68921.999,0.000290183109749907,4604825.70129889
"国分寺市","内野愛里",18,68921.999,0.000261164798774917,4604825.70129889
"国分寺市","石丸幸人",595.993,68921.999,0.00864735510645883,4604825.70129889
"国分寺市","尾関あゆみ",2,68921.999,2.90183109749907e-05,4604825.70129889
"国分寺市","小松けん",6,68921.999,8.70549329249722e-05,4604825.70129889
"国分寺市","かがたたくじ",6,68921.999,8.70549329249722e-05,4604825.70129889
"国分寺市","福永かつや",13,68921.999,0.00018861902133744,4604825.70129889
"国分寺市","犬伏宏明",2,68921.999,2.90183109749907e-05,4604825.70129889
"国分寺市","武内隆",3,68921.999,4.35274664624861e-05,4604825.70129889
"国分寺市","遠藤信一",5,68921.999,7.25457774374768e-05,4604825.70129889
"国分寺市","上楽むねゆき",1,68921.999,1.45091554874954e-05,4604825.70129889
"国分寺市","二宮大造",6,68921.999,8.70549329249722e-05,4604825.70129889
"国分寺市","中江ともや",5,68921.999,7.25457774374768e-05,4604825.70129889
"国分寺市","ふなはしゆめと",5,68921.999,7.25457774374768e-05,4604825.70129889
"国分寺市","山田信一",6,68921.999,8.70549329249722e-05,4604825.70129889
"国分寺市","加藤英明",2,68921.999,2.90183109749907e-05,4604825.70129889
"国分寺市","草尾あつし",2,68921.999,2.90183109749907e-05,4604825.70129889
"国分寺市","津村大作",1,68921.999,1.45091554874954e-05,4604825.70129889
"国分寺市","横山緑",30,68921.999,0.000435274664624861,4604825.70129889
"国分寺市","前田太一",3,68921.999,4.35274664624861e-05,4604825.70129889
"国分寺市","みなみ俊輔",1,68921.999,1.45091554874954e-05,4604825.70129889
"国分寺市","ふくはらしるび",6,68921.999,8.70549329249722e-05,4604825.70129889
"国分寺市","木村よしたか",9,68921.999,0.000130582399387458,4604825.70129889
"国分寺市","三輪陽一",4,68921.999,5.80366219499815e-05,4604825.70129889
"国分寺市","松尾芳治",1,68921.999,1.45091554874954e-05,4604825.70129889
